"","organisation_country","organisation_name","no_projects"
"636","Nigeria","Centre for Malaria and Other Tropical Diseases (CEMTROD), University of Ilorin Teaching Hospital, Nigeria",1
"637","Nigeria","College of Medicine, University of Ibadan",1
"638","Nigeria","College of Medicine, University of Lagos",1
"639","Nigeria","First Technical University",1
"640","Nigeria","Lagos State University Teaching Hospital",1
"641","Nigeria","Leprosy Mission Nigeria",1
"642","Nigeria","Michael Okpara University of Agriculture",1
"643","Nigeria","National Horticultural Research Institute",1
"644","Nigeria","Pan-Atlantic University",1
"645","Nigeria","Redeemer's University",1
"646","Nigeria","University College Hospital Ibadan",1
"647","Nigeria","University of Benin",1
"648","Nigeria","University of Ilorin",1
"649","Nigeria","University of Jos",1
"650","Nigeria","University of Nigeria",1
"651","Norway","Centre for International Climate and Environmental Research (CICERO)",1
"652","Norway","Coalition for Epidemic Preparedness Innovations (CEPI)",1
"653","Norway","Cochrane Effective Practice and Organization of Care Group, at the Norwegian Institute of Public Health (Norway)",1
"654","Norway","Norwegian Refugee Council",1
"655","Norway","Oslo School of Architecture and Design",1
"656","Norway","University of Tromsoe",1
"657","Occupied Palestinian Territories","Birzeit University",2
"658","Occupied Palestinian Territories","An-Najah National University",1
"659","Occupied Palestinian Territories","Bethlehem University",1
"660","Occupied Palestinian Territories","Medical Aid for Palestinians",1
"661","Pakistan","Aga Khan University",8
"662","Pakistan","Centre for Economic Research in Pakistan (CERP)",3
"663","Pakistan","Khyber Medical University",3
"664","Pakistan","Lahore University of Management Sciences",3
"665","Pakistan","Pakistan Institute of Learning & Living",3
"666","Pakistan","Services Institute of Medical Sciences",3
"667","Pakistan","Abaseen Foundation Pakistan",2
"668","Pakistan","Center for Economic Research in Pakistan (CERP)",2
"669","Pakistan","Dow University of Health Sciences",2
"670","Pakistan","Human Development Research Foundation",2
"671","Pakistan","Interactive Research and Development (IRD)",2
"672","Pakistan","Lady Reading Hospital",2
"673","Pakistan","Pakistan",2
"674","Pakistan","Rawalpindi Medical College Pakistan",2
"675","Pakistan","University of Agriculture Faisalabad",2
"676","Pakistan","University of Karachi",2
"677","Pakistan","University of Peshawar Pakistan",2
"678","Pakistan","AGA KHAN UNIVERSITY",1
"679","Pakistan","Aga Khan University Hospital",1
"680","Pakistan","Bahauddin Zakariya University",1
"681","Pakistan","Bahria University",1
"682","Pakistan","Centre for Economic Research in Pakistan",1
"683","Pakistan","Fatima Jinnah Medical University",1
"684","Pakistan","Gallup - Pakistan",1
"685","Pakistan","Institute of Psychiatry",1
"686","Pakistan","King Edward Medical University, Lahore",1
"687","Pakistan","Lahore School of Economics",1
"688","Pakistan","Maternal, Neonatal and Child Health Research Network",1
"689","Pakistan","North West General Hospital & Research Center",1
"690","Pakistan","Pakistan Bureau of Statistics",1
"691","Pakistan","Pakistan Higher Education Commission",1
"692","Pakistan","Pakistan Institute of Living and Learning",1
"693","Pakistan","Rawalpindi Medical University/Institute of Psychiatry",1
"694","Pakistan","Shaheed Benazir Bhutto Women University",1
"695","Pakistan","Sustainable Development Policy Institute",1
"696","Pakistan","Thalassaemia Society of Pakistan",1
"697","Pakistan","The Allergy and Asthma Institute",1
"698","Papua New Guinea","Papua New Guinea Inst of Med Research",2
"699","Papua New Guinea","Divine Word University",1
"700","Papua New Guinea","Papua New Guinea Government",1
"701","Papua New Guinea","University of Papua New Guinea",1
"702","Peru","Peruvian University Cayetano Heredia",7
"703","Peru","Catholic University of Peru (PUCP)",5
"704","Peru","Group for the Analysis of Development",5
"705","Peru","International Potato Center",2
"706","Peru","Universidad Peruana Cayetano Heredia",2
"707","Peru","Hospital Nacional Dos de Mayo",1
"708","Peru","IPA Peru",1
"709","Peru","Nat Institute of Children's Health Peru",1
"710","Peru","National University of  Centre of Peru",1
"711","Peru","Peru",1
"712","Peru","Research Inst of the Peruvian Amazon",1
"713","Philippines","Research Institute for Tropical Medicine",5
"714","Philippines","University of the Philippines Manila",5
"715","Philippines","University of the Philippines",4
"716","Philippines","De La Salle University",3
"717","Philippines","Ateneo de Manila University",2
"718","Philippines","International Rice Research Institute",1
"719","Philippines","Lung Center of the Philippines",1
"720","Philippines","National University",1
"721","Philippines","Nutrition Center of the Philippines",1
"722","Philippines","Research Institute for Tropical Medicine (RITM)",1
"723","Philippines","Southeast Asian Fisheries Dev Centre",1
"724","Philippines","University of Santo Tomas",1
"725","Philippines","University of the Philippines Los Banos",1
"726","Philippines","University of The Phillipines - Philippine general hospital",1
"727","Philippines","Western Philippines University",1
"728","Poland","International Organization for Migration",2
"729","Qatar","Silatech",1
"730","Rwanda","University of Rwanda",19
"731","Rwanda","Innovations for Poverty Action",1
"732","Rwanda","MTN Rwanda",1
"733","Saudi Arabia","King Saud University",1
"734","Serbia","University of Belgrade",1
"735","Sierra Leone","Sierra Leone Urban Resource Centre SLURC",4
"736","Sierra Leone","University of Sierra Leone",4
"737","Sierra Leone","College of Medicine and Allied Health Sciences (COMAHS)",3
"738","Sierra Leone","King's Sierra Leone Partnership",2
"739","Sierra Leone","College of Medicine and Allied Health Sciences, University of Sierra Leone",1
"740","Sierra Leone","Connaught Hospital",1
"741","Sierra Leone","Eastern Polytechnic College",1
"742","Sierra Leone","Lifeline Nehemiah Projects",1
"743","Sierra Leone","Ministry of Health and Sanitation",1
"744","Sierra Leone","National School of Midwifery",1
"745","Sierra Leone","Welbodi Partnership",1
"746","Singapore","National University of Singapore",5
"747","Singapore","Nanyang Technological University",2
"748","Singapore","Lee Kong Chian School of Medicine",1
"749","Singapore","Singapore Clinical Research Institute",1
"750","Slovenia","National Institute of Public Health",1
"751","Somalia","University of Hargeisa",1
"752","South Africa","University of Cape Town",71
"753","South Africa","University of the Witwatersrand",27
"754","South Africa","Stellenbosch University",24
"755","South Africa","University of KwaZulu-Natal",14
"756","South Africa","University of Pretoria",11
"757","South Africa","Rhodes University",8
"758","South Africa","South African Medical Research Council",7
"759","South Africa","University of the Free State",5
"760","South Africa","University of Johannesburg",4
"761","South Africa","University of the Western Cape",4
"762","South Africa","Africa Health Research Institute",3
"763","South Africa","Human Sciences Research Council",3
"764","South Africa","North West University",3
"765","South Africa","University of Limpopo",3
"766","South Africa","Nelson Mandela Metropolitan University",2
"767","South Africa","University of South Africa",2
"768","South Africa","Wits Health Consortium (Pty) Ltd - PRICELESS SA",2
"769","South Africa","BirdLife South Africa",1
"770","South Africa","Cape Peninsula University of Technology",1
"771","South Africa","Centre for Evidence-based Health Care at the University of Stellenbosch (South Africa)",1
"772","South Africa","Chris Hani Baragwanath Hospital",1
"773","South Africa","Cochrane South Africa at the South African Medical Research Council (South Africa)",1
"774","South Africa","Conservation South Africa",1
"775","South Africa","Council for Sci and Industrial Res",1
"776","South Africa","Desmond Tutu Health Foundation",1
"777","South Africa","Desmond Tutu HIV Foundation",1
"778","South Africa","Durban University of Technology",1
"779","South Africa","Education for Health Africa",1
"780","South Africa","Human Sciences Research Council - South Africa",1
"781","South Africa","Institute for Poverty, Land and Agrarian Studies",1
"782","South Africa","Institute of Natural Resources",1
"783","South Africa","Jembi Health Systems",1
"784","South Africa","National Dept of Health (South Africa)",1
"785","South Africa","National Health Laboratory Service",1
"786","South Africa","National Research Foundation",1
"787","South Africa","Pan African Thoracic Society",1
"788","South Africa","Project Empower",1
"789","South Africa","Red Cross Children's Hospital & University of Cape Town",1
"790","South Africa","Samson Institute for Ageing Research",1
"791","South Africa","South African Government",1
"792","South Africa","South African National Biodiversity Inst",1
"793","South Africa","Sustainable Livelihoods Foundation",1
"794","South Africa","University of Cape Town Lung Institute",1
"795","South Africa","University of Fort Hare",1
"796","South Africa","University of Witswatersrand",1
"797","South Africa","Wits Health Consortium (Pty) Ltd",1
"798","South Sudan","University of Juba",1
"799","Spain","University of Vigo",1
"800","Sri Lanka","University of Colombo",7
"801","Sri Lanka","University of Moratuwa",4
"802","Sri Lanka","University of Peradeniya",4
"803","Sri Lanka","University of Kelaniya",3
"804","Sri Lanka","International Centre for Ethnic Studies",2
"805","Sri Lanka","Rajarata University of Sri Lanka",2
"806","Sri Lanka","University of Sri Jayewardenepura",2
"807","Sri Lanka","Institute of Research and Development",1
"808","Sri Lanka","IRD Sri Lanka (Inst for Res and Dev)",1
"809","Sri Lanka","National Intensive Care Surveillance (NICS-MORU)",1
"810","Sri Lanka","South Asian Clinical Toxicology Research Collaboration (SACTRC)",1
"811","Sri Lanka","The Open University of Sri Lanka",1
"812","Sri Lanka","University of Jaffna",1
"813","Sri Lanka","Veterinary Research Institute Sri Lanka",1
"814","Sudan","University of Khartoum",4
"815","Sudan","Alzaiem Alazhari University",1
"816","Sudan","Epidemiological Laboratory (EPILAB)",1
"817","Sudan","Federal Ministry of Health",1
"818","Sudan","Ibn Sina University",1
"819","Sudan","Mycetoma Research Centre",1
"820","Sudan","Sudan",1
"821","Sweden","Karolinska Institute",4
"822","Sweden","Lund University",2
"823","Sweden","Swedish University of Agricultural Sci",2
"824","Sweden","Umea University",2
"825","Sweden","Stockholm University",1
"826","Switzerland","World Health Organisation",8
"827","Switzerland","World Health Organization",4
"828","Switzerland","University of Geneva",3
"829","Switzerland","CARE International",2
"830","Switzerland","Terre des hommes- Aide à l'enfance dans le monde- Fondation",2
"831","Switzerland","CABI",1
"832","Switzerland","ETH Zurich",1
"833","Switzerland","Global Antibiotic Research & Development Partnership (GARDP)",1
"834","Switzerland","Lausanne University",1
"835","Switzerland","Swiss Tropical and Public Health Institute",1
"836","Switzerland","United Nations Environment Programe UNEP",1
"837","Switzerland","University of Applied Sciences and Arts Northwestern Switzerland (FHNW)",1
"838","Switzerland","University of Bern",1
"839","Switzerland","University of Lausanne",1
"840","Switzerland","University of Zurich",1
"841","Switzerland","World Economic Forum",1
"842","Syria","Syrian American Medical Society Foundation",1
"843","Taiwan","World Vegetable Center",2
"844","Tajikistan","Aga Khan Educational Centre",1
"845","Tanzania","Ifakara Health Institute",12
"846","Tanzania","National Institute for Medical Research",12
"847","Tanzania","Sokoine University of Agriculture",8
"848","Tanzania","University of Dar es Salaam",6
"849","Tanzania","Ardhi University",3
"850","Tanzania","Kilimanjaro Clinical Research Institute",3
"851","Tanzania","National Institute for Medical Research (NIMR)",3
"852","Tanzania","Economic and Social Research Foundation",2
"853","Tanzania","Kilimanjaro Christian Medical Centre (KCMC)",2
"854","Tanzania","Ministry of Health & SW Tanzania",2
"855","Tanzania","Muhimbili University of Health and Allied Sciences",2
"856","Tanzania","Catholic University of Health and Applied Sciences",1
"857","Tanzania","IPA Tanzania",1
"858","Tanzania","Ministry of Health and Social Welfare",1
"859","Tanzania","Muhimbili National Hospital",1
"860","Tanzania","Muhimbili Orthopaedic Institute",1
"861","Tanzania","National Institute for Medical Research – Muhimbili Centre (NIMR)",1
"862","Tanzania","National Institute for Medical Research (NIMR), Tanzania",1
"863","Tanzania","National Tuberculosis and Leprosy Programme (NTLP)",1
"864","Tanzania","Neglected Tropical Disease Control, Ministry of Health",1
"865","Tanzania","Shree Hindu Mandal Hospital",1
"866","Tanzania","Tanzania Epilepsy Association",1
"867","Tanzania","Tanzania Meteorological Agency",1
"868","Tanzania","Tanzania Veterinary Laboratory Agency",1
"869","Tanzania","Tanzanian Fisheries Research Institute",1
"870","Tanzania","The Open University of Tanzania",1
"871","Tanzania","Tumaini University",1
"872","Tanzania","University of Dodoma",1
"873","Tanzania","Western Indian Ocean Marine Sci Ass",1
"874","Thailand","Mahidol University",12
"875","Thailand","Chiang Mai University",6
"876","Thailand","Ministry of Public Health, Thailand",4
"877","Thailand","Asian Institute of Technology",3
"878","Thailand","Chulalongkorn University",3
"879","Thailand","Kasetsart University",3
"880","Thailand","Khon Kaen University",2
"881","Thailand","Mahidol Oxford Tropical Medicine Research Unit",2
"882","Thailand","Armed Forces Research Institute of Medical Science",1
"883","Thailand","Bangkok University",1
"884","Thailand","Chulabhorn Research Institute",1
"885","Thailand","Mae Fah Luang University",1
"886","Thailand","Mahidol Oxford Tropical Medicine Research Unit - Thailand",1
"887","Thailand","Naresuan University",1
"888","Thailand","National Center for Genetic Engineering",1
"889","Thailand","Thailand Development Research Institute",1
"890","Timor-Leste","University National Timor-Leste",1
"891","Turkey","CIMMYT (Int Maize & Weat Improvt Ctr)",3
"892","Turkey","Bilkent University",2
"893","Turkey","Hacettepe University",1
"894","Turkey","Kadir Has University",1
"895","Turkey","Marmara University",1
"896","Turkey","Middle East Technical University",1
"897","Turkey","TED University",1
"898","Turkey","Union of Medical Care and Relief Organizations Turkey (UOSSM)",1
"899","Uganda","Makerere University",58
"900","Uganda","Gulu University",6
"901","Uganda","Busitema University",4
"902","Uganda","MRC / UVRI Uganda Research Unit",4
"903","Uganda","MRC/UVRI Uganda Research Unit on AIDS",4
"904","Uganda","Ministry of Health - Uganda",3
"905","Uganda","African Field Epidemiology Network",1
"906","Uganda","African Palliative Care Association",1
"907","Uganda","BRAC - Uganda",1
"908","Uganda","Coordinating Office for Control of Trypanosomiasis in Uganda (COCTU)",1
"909","Uganda","IERC, BRAC University, Uganda",1
"910","Uganda","Innovation Streams",1
"911","Uganda","IPA Uganda",1
"912","Uganda","Kyambogo University",1
"913","Uganda","Makerere University Hospital",1
"914","Uganda","Malaria Consortium",1
"915","Uganda","Medical Research Council Unit Entebbe",1
"916","Uganda","MOUNTAINS OF THE MOON UNIVERSITY",1
"917","Uganda","MRC/UVRI Uganda Research Unit on AIDS DO NOT USE IN APPLICATION. USE LSHTM",1
"918","Uganda","Raising Voices",1
"919","Uganda","Sanyu Africa Research Institute",1
"920","Uganda","The AIDS Support Organization (TASO)",1
"921","Uganda","The Central Public Health Laboratories (CPHL)",1
"922","Uganda","Uganda Christian University",1
"923","Uganda","Uganda Heart Institute",1
"924","Uganda","Uganda Industrial Research Institute",1
"925","Uganda","Uganda Martyrs University",1
"926","Uganda","Uganda Museum",1
"927","Uganda","Uganda National Meteorological Authority",1
"928","Uganda","Uganda Virus Research Institute",1
"929","Uganda","Walimu",1
"930","United Arab Emirates","American University of Sharjah",1
"931","United Kingdom","London Sch of Hygiene and Trop Medicine",237
"932","United Kingdom","University of Oxford",167
"933","United Kingdom","University College London",163
"934","United Kingdom","King's College London",105
"935","United Kingdom","University of Leeds",102
"936","United Kingdom","Imperial College London",96
"937","United Kingdom","University of Glasgow",91
"938","United Kingdom","Liverpool School of Tropical Medicine",89
"939","United Kingdom","University of Liverpool",88
"940","United Kingdom","University of Bristol",78
"941","United Kingdom","University of Edinburgh",76
"942","United Kingdom","University of Birmingham",75
"943","United Kingdom","University of York",70
"944","United Kingdom","University of Cambridge",67
"945","United Kingdom","University of Manchester",63
"946","United Kingdom","University of Southampton",59
"947","United Kingdom","University of Exeter",58
"948","United Kingdom","University of Nottingham",58
"949","United Kingdom","University of Sheffield",56
"950","United Kingdom","University of Warwick",49
"951","United Kingdom","Durham University",47
"952","United Kingdom","ROYAL ACADEMY OF ENGINEERING",43
"953","United Kingdom","Loughborough University",41
"954","United Kingdom","Newcastle University",40
"955","United Kingdom","University of Sussex",40
"956","United Kingdom","Lancaster University",37
"957","United Kingdom","Institute of Development Studies",35
"958","United Kingdom","Queen Mary, University of London",33
"959","United Kingdom","University of East Anglia",31
"960","United Kingdom","Queen's University of Belfast",30
"961","United Kingdom","University of Bath",30
"962","United Kingdom","University of Reading",29
"963","United Kingdom","London School of Economics & Pol Sci",28
"964","United Kingdom","UNIVERSITY COLLEGE LONDON",28
"965","United Kingdom","Cardiff University",26
"966","United Kingdom","University of Leicester",26
"967","United Kingdom","London School of Hygiene & Tropical Medicine",24
"968","United Kingdom","University of Stirling",22
"969","United Kingdom","University of Aberdeen",21
"970","United Kingdom","UNIVERSITY OF LEEDS",20
"971","United Kingdom","Keele University",19
"972","United Kingdom","UNIVERSITY OF GLASGOW",19
"973","United Kingdom","University of Kent",19
"974","United Kingdom","University of St Andrews",19
"975","United Kingdom","Cranfield University",18
"976","United Kingdom","Royal Veterinary College",18
"977","United Kingdom","UNIVERSITY OF BIRMINGHAM",18
"978","United Kingdom","University of Dundee",18
"979","United Kingdom","UNIVERSITY OF EXETER",18
"980","United Kingdom","UNIVERSITY OF NOTTINGHAM",18
"981","United Kingdom","NERC British Geological Survey",17
"982","United Kingdom","University of Strathclyde",17
"983","United Kingdom","Bangor University",16
"984","United Kingdom","Unknown",16
"985","United Kingdom","Northumbria University",15
"986","United Kingdom","Rothamsted Research",15
"987","United Kingdom","UNIVERSITY OF CAMBRIDGE",15
"988","United Kingdom","Heriot-Watt University",14
"989","United Kingdom","Queen Mary University of London",14
"990","United Kingdom","St George's University of London",14
"991","United Kingdom","UNIVERSITY OF EDINBURGH",14
"992","United Kingdom","University of Plymouth",14
"993","United Kingdom","UNIVERSITY OF STRATHCLYDE",14
"994","United Kingdom","University of Surrey",14
"995","United Kingdom","IMPERIAL COLLEGE LONDON",13
"996","United Kingdom","London School of Hygiene and Tropical Medicine",13
"997","United Kingdom","Open University",13
"998","United Kingdom","School of Oriental & African Studies",13
"999","United Kingdom","University of Greenwich",13
"1000","United Kingdom","University of Ulster",13
"1001","United Kingdom","Coventry University",12
"1002","United Kingdom","Liverpool John Moores University",12
"1003","United Kingdom","UNIVERSITY OF BATH",12
"1004","United Kingdom","University of Huddersfield",12
"1005","United Kingdom","UNIVERSITY OF LIVERPOOL",12
"1006","United Kingdom","UNIVERSITY OF MANCHESTER",12
"1007","United Kingdom","UNIVERSITY OF OXFORD",12
"1008","United Kingdom","University of Portsmouth",12
"1009","United Kingdom","CARDIFF UNIVERSITY",11
"1010","United Kingdom","De Montfort University",11
"1011","United Kingdom","LOUGHBOROUGH UNIVERSITY",11
"1012","United Kingdom","Plymouth Marine Laboratory",11
"1013","United Kingdom","Royal Holloway, University of London",11
"1014","United Kingdom","International Institute for Env and Dev",10
"1015","United Kingdom","Royal Botanic Gardens Kew",10
"1016","United Kingdom","Swansea University",10
"1017","United Kingdom","UNIVERSITY OF EAST ANGLIA",10
"1018","United Kingdom","University of Salford",10
"1019","United Kingdom","KING'S COLLEGE LONDON",9
"1020","United Kingdom","Nottingham Trent University",9
"1021","United Kingdom","ROYAL SOCIETY",9
"1022","United Kingdom","The University of Edinburgh",9
"1023","United Kingdom","University of Central Lancashire",9
"1024","United Kingdom","University of Hertfordshire",9
"1025","United Kingdom","UNIVERSITY OF READING",9
"1026","United Kingdom","UNIVERSITY OF SHEFFIELD",9
"1027","United Kingdom","UNIVERSITY OF YORK",9
"1028","United Kingdom","Brunel University",8
"1029","United Kingdom","City, University of London",8
"1030","United Kingdom","COVENTRY UNIVERSITY",8
"1031","United Kingdom","University of Brighton",8
"1032","United Kingdom","University of Essex",8
"1033","United Kingdom","Aberystwyth University",7
"1034","United Kingdom","DURHAM UNIVERSITY",7
"1035","United Kingdom","Edinburgh Napier University",7
"1036","United Kingdom","LANCASTER UNIVERSITY",7
"1037","United Kingdom","Middlesex University",7
"1038","United Kingdom","Oxford Brookes University",7
"1039","United Kingdom","Public Health England",7
"1040","United Kingdom","QUEEN'S UNIVERSITY BELFAST",7
"1041","United Kingdom","Queen Margaret University Edinburgh",7
"1042","United Kingdom","QUEEN MARY UNIVERSITY OF LONDON",7
"1043","United Kingdom","SWANSEA UNIVERSITY",7
"1044","United Kingdom","The James Hutton Institute",7
"1045","United Kingdom","The University of Oxford",7
"1046","United Kingdom","UNIVERSITY OF BRISTOL",7
"1047","United Kingdom","UNIVERSITY OF SURREY",7
"1048","United Kingdom","University of the Arts London",7
"1049","United Kingdom","University of the West of England",7
"1050","United Kingdom","UNIVERSITY OF WARWICK",7
"1051","United Kingdom","ACADEMY OF MEDICAL SCIENCES",6
"1052","United Kingdom","ASTON UNIVERSITY",6
"1053","United Kingdom","BRUNEL UNIVERSITY LONDON",6
"1054","United Kingdom","Elrha",6
"1055","United Kingdom","Global Disability Innovation Hub",6
"1056","United Kingdom","HERIOT-WATT UNIVERSITY",6
"1057","United Kingdom","Manchester Metropolitan University",6
"1058","United Kingdom","NEWCASTLE UNIVERSITY",6
"1059","United Kingdom","Private Address",6
"1060","United Kingdom","The University of Manchester",6
"1061","United Kingdom","UNIVERSITY OF ABERDEEN",6
"1062","United Kingdom","UNIVERSITY OF ESSEX",6
"1063","United Kingdom","University of Hull",6
"1064","United Kingdom","UNIVERSITY OF HULL",6
"1065","United Kingdom","UNIVERSITY OF SOUTHAMPTON",6
"1066","United Kingdom","UNIVERSITY OF SUSSEX",6
"1067","United Kingdom","Aston University",5
"1068","United Kingdom","Birkbeck College",5
"1069","United Kingdom","BOURNEMOUTH UNIVERSITY",5
"1070","United Kingdom","CITY, UNIVERSITY OF LONDON",5
"1071","United Kingdom","INSTITUTE OF DEVELOPMENT STUDIES",5
"1072","United Kingdom","John Innes Centre",5
"1073","United Kingdom","London School of Economics and Political Science",5
"1074","United Kingdom","LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE",5
"1075","United Kingdom","MANCHESTER METROPOLITAN UNIVERSITY",5
"1076","United Kingdom","NORTHUMBRIA UNIVERSITY",5
"1077","United Kingdom","SCIENCE AND TECHNOLOGY FACILITIES COUNCIL",5
"1078","United Kingdom","Scottish Association For Marine Science",5
"1079","United Kingdom","The Pirbright Institute",5
"1080","United Kingdom","Trinity College Dublin",5
"1081","United Kingdom","University of Bedfordshire",5
"1082","United Kingdom","University of Bradford",5
"1083","United Kingdom","University of East London",5
"1084","United Kingdom","University of Lincoln",5
"1085","United Kingdom","UNIVERSITY OF PORTSMOUTH",5
"1086","United Kingdom","UNIVERSITY OF THE WEST OF ENGLAND",5
"1087","United Kingdom","Bath Spa University",4
"1088","United Kingdom","BRITISH COUNCIL",4
"1089","United Kingdom","Chatham House",4
"1090","United Kingdom","Earlham Institute",4
"1091","United Kingdom","Genome Research Limited operating as the Wellcome Trust Sanger Institute",4
"1092","United Kingdom","Glasgow Caledonian University",4
"1093","United Kingdom","Goldsmiths College",4
"1094","United Kingdom","Institute for Fiscal Studies",4
"1095","United Kingdom","NOTTINGHAM TRENT UNIVERSITY",4
"1096","United Kingdom","Oxford Policy Management",4
"1097","United Kingdom","SRUC",4
"1098","United Kingdom","STFC - Laboratories",4
"1099","United Kingdom","The Francis Crick Institute",4
"1100","United Kingdom","The Natural History Museum",4
"1101","United Kingdom","The Robert Gordon University",4
"1102","United Kingdom","UNIVERSITY OF BRIGHTON",4
"1103","United Kingdom","UNIVERSITY OF LEICESTER",4
"1104","United Kingdom","UNIVERSITY OF PLYMOUTH",4
"1105","United Kingdom","ABERYSTWYTH UNIVERSITY",3
"1106","United Kingdom","Birmingham City University",3
"1107","United Kingdom","Bournemouth University",3
"1108","United Kingdom","CAB International",3
"1109","United Kingdom","CRANFIELD UNIVERSITY",3
"1110","United Kingdom","Diamond Light Source",3
"1111","United Kingdom","Institute of Occupational Medicine",3
"1112","United Kingdom","Leeds Beckett University",3
"1113","United Kingdom","LIVERPOOL JOHN MOORES UNIVERSITY",3
"1114","United Kingdom","National University of Ireland Galway",3
"1115","United Kingdom","Overseas Development Institute",3
"1116","United Kingdom","Practical Action",3
"1117","United Kingdom","Queen Margaret University",3
"1118","United Kingdom","ROTHAMSTED RESEARCH",3
"1119","United Kingdom","St George's, University of London",3
"1120","United Kingdom","UNIVERSITY OF HERTFORDSHIRE",3
"1121","United Kingdom","UNIVERSITY OF HUDDERSFIELD",3
"1122","United Kingdom","UNIVERSITY OF KENT",3
"1123","United Kingdom","University of London",3
"1124","United Kingdom","University of the Highlands and Islands",3
"1125","United Kingdom","UNIVERSITY OF WOLVERHAMPTON",3
"1126","United Kingdom","Action Against Hunger UK",2
"1127","United Kingdom","Amref Health Africa - UK",2
"1128","United Kingdom","BANGOR UNIVERSITY",2
"1129","United Kingdom","Carbon Trust Advisory Ltd",2
"1130","United Kingdom","Centre for Economic Policy Research",2
"1131","United Kingdom","Centre for Economic Policy Research (CEPR)",2
"1132","United Kingdom","DE MONTFORT UNIVERSITY",2
"1133","United Kingdom","EARLHAM INSTITUTE",2
"1134","United Kingdom","EDINBURGH NAPIER UNIVERSITY",2
"1135","United Kingdom","EMBL - European Bioinformatics Institute",2
"1136","United Kingdom","Energy Saving Trust",2
"1137","United Kingdom","Glasgow School of Art",2
"1138","United Kingdom","H R Wallingford Ltd",2
"1139","United Kingdom","Harper Adams University",2
"1140","United Kingdom","IMC WORLDWIDE",2
"1141","United Kingdom","International Institute for Environment and Development",2
"1142","United Kingdom","International Rescue Committee UK",2
"1143","United Kingdom","JOHN INNES CENTRE",2
"1144","United Kingdom","Kingston University",2
"1145","United Kingdom","KINGSTON UNIVERSITY",2
"1146","United Kingdom","Leonard Cheshire Disability",2
"1147","United Kingdom","London Business School",2
"1148","United Kingdom","London South Bank University",2
"1149","United Kingdom","Marine Biological Association",2
"1150","United Kingdom","Met Office",2
"1151","United Kingdom","Moredun Research Institute",2
"1152","United Kingdom","Motivation",2
"1153","United Kingdom","NATIONAL OCEANOGRAPHY CENTRE",2
"1154","United Kingdom","Nesta",2
"1155","United Kingdom","Northumbria Healthcare NHS Foundation Trust",2
"1156","United Kingdom","Oxfam GB",2
"1157","United Kingdom","OXFORD BROOKES UNIVERSITY",2
"1158","United Kingdom","PUBLIC HEALTH ENGLAND",2
"1159","United Kingdom","Quadram Institute Bioscience",2
"1160","United Kingdom","Roehampton University",2
"1161","United Kingdom","Save the Children UK",2
"1162","United Kingdom","SCHOOL OF ORIENTAL AND AFRICAN STUDIES",2
"1163","United Kingdom","Sheffield Hallam University",2
"1164","United Kingdom","TEESSIDE UNIVERSITY",2
"1165","United Kingdom","The Faraday Institution",2
"1166","United Kingdom","The Queen's University of Belfast",2
"1167","United Kingdom","University of Abertay Dundee",2
"1168","United Kingdom","UNIVERSITY OF CENTRAL LANCASHIRE",2
"1169","United Kingdom","UNIVERSITY OF DERBY",2
"1170","United Kingdom","UNIVERSITY OF EAST LONDON",2
"1171","United Kingdom","UNIVERSITY OF SALFORD",2
"1172","United Kingdom","UNIVERSITY OF ST ANDREWS",2
"1173","United Kingdom","UNIVERSITY OF STIRLING",2
"1174","United Kingdom","University of Teesside",2
"1175","United Kingdom","University of the West of Scotland",2
"1176","United Kingdom","UNIVERSITY OF THE WEST OF SCOTLAND",2
"1177","United Kingdom","University of Westminster",2
"1178","United Kingdom","UWE Bristol",2
"1179","United Kingdom","WaterAid UK",2
"1180","United Kingdom","Amalga Technologies Limited",1
"1181","United Kingdom","Anglia Ruskin University",1
"1182","United Kingdom","ANGLIA RUSKIN UNIVERSITY",1
"1183","United Kingdom","Animal Health & Veterinary Lab Agency",1
"1184","United Kingdom","Ann Frye Ltd",1
"1185","United Kingdom","Anna Freud National Centre for Children and Families",1
"1186","United Kingdom","Arden Biotechnology Limited",1
"1187","United Kingdom","Barts Health NHS Trust",1
"1188","United Kingdom","Biotangents Limited",1
"1189","United Kingdom","BIRKBECK, UNIVERSITY OF LONDON",1
"1190","United Kingdom","Birmingham & Solihull Mental Health NHS Trust",1
"1191","United Kingdom","BIRMINGHAM CITY UNIVERSITY",1
"1192","United Kingdom","Borders General Hospital",1
"1193","United Kingdom","Bradford Teaching Hosp NHS Found Trust",1
"1194","United Kingdom","Brighton and Sussex Medical School",1
"1195","United Kingdom","BRITISH ACADEMY",1
"1196","United Kingdom","BRITISH GEOLOGICAL SURVEY",1
"1197","United Kingdom","Brunel University London",1
"1198","United Kingdom","BUGS Bioscience",1
"1199","United Kingdom","CEM Analytical Services",1
"1200","United Kingdom","Centre for Env Fisheries Aqua Sci CEFAS",1
"1201","United Kingdom","Centre for Global Equality",1
"1202","United Kingdom","Destiny Pharma Plc",1
"1203","United Kingdom","Development Media International CIC",1
"1204","United Kingdom","Dublin City University",1
"1205","United Kingdom","Edge Hill University",1
"1206","United Kingdom","Encephalitis Society",1
"1207","United Kingdom","Energy 4 Impact",1
"1208","United Kingdom","Epigem Limited",1
